,Infected_vac,Infected_not_vac,city_sus_above65,city_sus_below65,rural_sus_above65,rural_sus_below65,Resistant_vac,Resistant_nature,Death,Vccinated_state,State_VACC_NO,State_VACC_YES,accumulated_infected_number,Path_No
348,0,0,1,11,0,6,287,636,5,56,0,54,641,3
349,0,0,1,11,0,6,287,636,5,56,0,54,641,3
350,0,0,1,11,0,6,287,636,5,56,0,54,641,3
351,0,0,1,11,0,6,287,636,5,56,0,54,641,3
352,0,0,1,11,0,6,287,636,5,56,0,54,641,3
353,0,0,1,11,0,6,287,636,5,56,0,54,641,3
354,0,0,1,11,0,6,287,636,5,56,0,54,641,3
355,0,0,1,11,0,6,287,636,5,56,0,54,641,3
356,0,0,1,11,0,6,287,636,5,56,0,54,641,3
357,0,0,1,11,0,6,287,636,5,56,0,54,641,3
358,0,0,1,11,0,6,287,636,5,56,0,54,641,3
359,0,0,1,11,0,6,287,636,5,56,0,54,641,3
360,0,0,1,11,0,6,287,636,5,56,0,54,641,3
361,0,0,1,11,0,6,287,636,5,56,0,54,641,3
362,0,0,1,11,0,6,287,636,5,56,0,54,641,3
363,0,0,1,11,0,6,287,636,5,56,0,54,641,3
364,0,0,1,11,0,6,287,636,5,56,0,54,641,3
365,0,0,1,11,0,6,287,636,5,56,0,54,641,3
